XAUUSD M30 | 1999 bars | 2026-04-08 01:51 BJT
时间(BJT)|开|高|低|收
02-18 07:30|4877.50|4883.40|4854.08|4859.00
02-18 08:00|4858.86|4872.62|4858.24|4870.15
02-18 08:30|4870.16|4882.59|4867.99|4874.77
02-18 09:00|4874.72|4891.67|4874.38|4887.00
02-18 09:30|4887.24|4892.60|4882.99|4889.86
02-18 10:00|4890.06|4904.27|4886.63|4900.83
02-18 10:30|4900.92|4907.46|4900.66|4905.24
02-18 11:00|4905.36|4920.00|4904.32|4919.27
02-18 11:30|4919.31|4922.23|4916.53|4920.60
02-18 12:00|4920.84|4933.56|4918.17|4932.96
02-18 12:30|4933.16|4939.55|4931.53|4934.06
02-18 13:00|4934.09|4939.36|4929.86|4935.26
02-18 13:30|4935.25|4939.87|4933.15|4933.37
02-18 14:00|4933.36|4934.09|4925.14|4930.44
02-18 14:30|4930.68|4936.16|4926.64|4930.86
02-18 15:00|4930.88|4941.91|4929.90|4938.91
02-18 15:30|4939.10|4940.61|4929.16|4930.45
02-18 16:00|4930.44|4932.45|4922.81|4926.04
02-18 16:30|4926.18|4926.70|4916.66|4917.22
02-18 17:00|4917.23|4923.05|4912.90|4921.39
02-18 17:30|4921.41|4923.22|4916.14|4917.41
02-18 18:00|4917.42|4924.58|4917.02|4921.59
02-18 18:30|4921.61|4921.61|4909.16|4914.64
02-18 19:00|4914.40|4917.75|4912.55|4915.28
02-18 19:30|4915.29|4916.57|4906.31|4913.05
02-18 20:00|4912.86|4929.53|4911.94|4921.04
02-18 20:30|4921.03|4947.22|4917.87|4943.09
02-18 21:00|4943.09|4959.43|4942.93|4956.50
02-18 21:30|4956.57|4969.10|4949.00|4954.49
02-18 22:00|4954.67|4963.64|4952.25|4960.93
02-18 22:30|4960.98|4994.40|4955.65|4991.84
02-18 23:00|4991.74|5009.05|4991.74|5004.77
02-18 23:30|5004.55|5005.32|4994.92|4997.81
02-19 00:00|4997.77|5003.29|4991.47|4996.80
02-19 00:30|4996.82|5010.89|4994.45|5000.32
02-19 01:00|5000.33|5001.66|4996.14|4999.30
02-19 01:30|4999.50|5000.95|4993.39|4999.36
02-19 02:00|4999.32|5003.06|4986.54|4988.19
02-19 02:30|4988.21|4993.19|4980.60|4987.28
02-19 03:00|4987.30|4995.33|4972.87|4978.95
02-19 03:30|4978.55|4984.58|4972.93|4980.54
02-19 04:00|4980.47|4984.72|4975.35|4977.77
02-19 04:30|4977.37|4987.69|4976.52|4985.09
02-19 05:00|4984.98|4986.31|4980.47|4981.53
02-19 05:30|4981.34|4982.34|4975.41|4977.20
02-19 07:00|4977.11|4984.08|4960.07|4982.04
02-19 07:30|4981.80|4988.88|4968.56|4975.84
02-19 08:00|4975.85|4976.34|4961.36|4967.20
